first_name,last_name,email,phone,carnet_student,program_id,study_mode_id
Dyanne,Woodwing,dwoodwing0@imgur.com,555-9250,AC20245312,3,2
Anastasia,MacLaren,amaclaren1@redcross.org,555-8810,HL20249803,1,1
Herman,Vellender,hvellender2@prnewswire.com,555-2367,LT20240970,6,1
Estel,Poulton,epoulton3@washingtonpost.com,555-0971,WR20236562,5,1
Shermy,Bezemer,sbezemer4@dropbox.com,555-8491,RK20241090,2,2
Margery,Jimson,mjimson5@canalblog.com,555-0627,ZW20248098,10,2
Clair,Dalgety,cdalgety6@instagram.com,555-0636,CQ20248353,6,2
Stephan,Boulding,sboulding7@tinyurl.com,555-1875,TY20240993,10,1
Lyell,Boate,lboate8@zdnet.com,555-7833,QO20240837,3,1
Roseline,Woolforde,rwoolforde9@trellian.com,555-6932,XP20234286,7,1
Linoel,Golling,lgollinga@wikimedia.org,555-4880,VX20248954,5,1
Corny,McLauchlin,cmclauchlinb@yahoo.com,555-3076,XB20238810,9,1
Jamil,Di Maria,jdimariac@smh.com.au,555-5622,JN20231937,1,2
Madonna,Risdale,mrisdaled@ucsd.edu,555-0491,IU20239521,10,1
Donica,Eckert,deckerte@ft.com,555-4781,GA20237572,6,1
Rickert,Cuseck,rcuseckf@parallels.com,555-0696,BX20246941,3,2
Charlie,Coan,ccoang@wsj.com,555-3122,SE20249263,9,2
Truda,Shipley,tshipleyh@wordpress.org,555-1984,JN20233745,1,1
Jenine,Chennells,jchennellsi@sohu.com,555-5606,MX20241318,2,2
Philip,Heistermann,pheistermannj@java.com,555-2519,BL20238183,6,1
